Instancia;N_Ejecuciones;Mejor_Beneficio_Global;Media_Beneficio;Min_Beneficio;Media_Tiempo(s);Media_Factibles;Media_Infactibles
I07;5;23894;23833.2;23785;0.84578;47601;2399
I09;5;47402;47307;47211;1.54435;44816.2;5183.8
I11;5;70870;70803;70694;2.03887;43332.2;6667.8
I13;5;94417;94259.6;94175;2.32582;42213.2;7786.8
INST01;5;10466;10436.8;10391;0.903837;43920.4;6079.6
INST03;5;10597;10563;10526;2.12074;3117.4;46882.6
INST05;5;16624;16573;16526;1.24498;43140.6;6859.4
INST07;5;16006;15949.2;15898;2.49133;15719.8;34280.2
INST09;5;17311;17267;17233;1.53876;39111;10889
INST11;5;18905;18863.8;18806;2.34874;27554.6;22445.4
INST13;5;20915;20795.6;20695;1.97589;48253.2;1746.8
INST15;5;37433;37262.4;37186;4.43977;45728;4272
INST17;5;51527;51453.4;51396;6.59148;43643.4;6356.6
INST19;5;61685;61568.6;61468;9.30778;42490.4;7509.6
INST20;5;71970;71760;71628;3.65369;40839.2;9160.8
