Tiempo (s),Nodos
1,148504
2,302749
3,462177
4,621779
5,781271
6,940625
7,1100151
8,1259850
9,1419391
10,1577663
11,1732894
12,1886952
13,2039392
14,2192048
15,2345777
16,2497772
17,2652003
18,2808049
19,2963045
20,3117821
21,3272562
22,3427472
23,3580932
24,3734457
25,3887925
26,4041208
27,4194612
28,4347913
29,4502913
30,4659738
31,4816364
32,4972666
33,5129250
34,5285810
35,5442559
36,5599545
37,5756355
38,5912847
39,6069104
40,6225340
41,6381691
42,6538114
43,6694021
44,6848405
45,7002944
46,7157299
47,7311067
48,7464800
49,7619385
50,7772792
51,7926351
52,8083100
53,8240064
54,8396466
55,8553057
56,8709700
57,8866611
58,9023242
59,9180393
60,9334744
61,9491634
62,9648429
63,9805430
64,9961316
65,10115145
66,10269174
67,10422986
68,10576094
69,10729091
70,10882570
71,11036189
72,11189645
73,11343311
74,11497667
75,11653764
76,11809930
77,11966346
78,12122878
79,12279346
80,12435710
81,12591957
82,12747848
83,12903310
84,13059097
85,13214081
86,13367648
87,13521156
88,13674723
89,13828193
90,13981536
91,14134962
92,14287864
93,14441427
94,14595012
95,14748552
96,14901947
97,15055479
98,15208333
99,15361420
100,15514427
101,15667542
102,15820723
103,15973731
104,16126926
105,16280226
106,16435015
107,16593779
108,16756836
109,16919545
110,17081194
111,17242448
112,17404084
113,17565612
114,17727180
115,17888645
116,18049688
117,18210691
118,18371695
119,18532926
120,18694157
