Tiempo (s),Factibles,Infactibles (Choques)
1,148408,369
2,302575,759
3,461922,1164
4,621443,1569
5,780854,1974
6,940127,2379
7,1099572,2739
8,1259190,2979
9,1418650,3384
10,1576842,3789
11,1731994,4179
12,1885974,4574
13,2038336,4959
14,2190915,5284
15,2344566,5529
16,2496484,5914
17,2650637,6309
18,2806603,6704
19,2961521,7094
20,3116218,7489
21,3270880,7829
22,3425711,8074
23,3579093,8464
24,3732540,8854
25,3885930,9239
26,4039136,9629
27,4192462,10019
28,4345685,10374
29,4500606,10594
30,4657352,10994
31,4813898,11389
32,4970121,11789
33,5126625,12184
34,5283106,12584
35,5439775,12919
36,5596682,13174
37,5753412,13569
38,5909825,13969
39,6066002,14364
40,6222159,14759
41,6378431,15154
42,6534773,15464
43,6690601,15749
44,6844907,16139
45,6999367,16529
46,7153644,16924
47,7307334,17314
48,7460989,17704
49,7615496,18009
50,7768825,18279
51,7922306,18669
52,8078975,19064
53,8235860,19464
54,8392182,19859
55,8548694,20259
56,8705257,20554
57,8862089,20849
58,9018640,21244
59,9175711,21644
60,9329984,22034
61,9486794,22434
62,9643510,22829
63,9800430,23099
64,9956237,23424
65,10109988,23814
66,10263939,24204
67,10417673,24594
68,10570703,24984
69,10723622,25369
70,10877023,25644
71,11030565,25944
72,11183943,26334
73,11337531,26724
74,11491808,27114
75,11647826,27509
76,11803913,27909
77,11960249,28189
78,12116702,28494
79,12273091,28894
80,12429375,29289
81,12585543,29684
82,12741355,30079
83,12896738,30474
84,13052445,30734
85,13207350,31064
86,13360839,31454
87,13514269,31844
88,13667758,32229
89,13821150,32619
90,13974416,33009
91,14127764,33279
92,14280588,33579
93,14434073,33969
94,14587580,34359
95,14741042,34749
96,14894360,35139
97,15047814,35529
98,15200590,35824
99,15353599,36099
100,15506529,36489
101,15659566,36874
102,15812669,37264
103,15965600,37654
104,16118717,38039
105,16271938,38369
106,16426649,38619
107,16585332,39024
108,16748306,39439
109,16910933,39849
110,17072500,40259
111,17233672,40669
112,17395226,40914
113,17556672,41284
114,17718158,41694
115,17879541,42104
116,18040502,42514
117,18201423,42919
118,18362346,43329
119,18523495,43534
120,18684644,43939
