Tiempo (s),Mejor Costo
0,4520
0,4510
0,4500
0,4490
0,4480
0,4470
0,4460
0,4450
0,4440
0,4430
0,4420
0,4410
0,4400
0,4390
0,4380
0,4370
0,4360
0,4350
0,4340
0,4330
0,4320
0,4310
0,4300
0,4290
0,4280
0,4270
0,4260
0,4250
0,4240
0,4230
0,4220
0,4210
0,4200
0,4190
0,4180
0,4170
0,4160
0,4150
0,4140
0,4130
0,4120
0,4110
0,4100
0,4090
0,4080
0,4070
0,4060
0,4050
0,4040
0,4030
0,4020
0,4010
0,4000
0,3990
0,3980
0,3970
0,3960
0,3950
0,3940
0,3930
0,3920
0,3910
0,3900
0,3890
0,3880
0,3870
0,3860
0,3850
0,3840
0,3830
0,3820
0,3810
0,3800
1,3800
1,3790
1,3780
1,3770
1,3760
1,3750
1,3740
2,3740
2,3730
2,3720
2,3710
2,3700
2,3690
2,3680
3,3680
3,3670
3,3660
3,3650
3,3640
3,3630
3,3620
3,3610
4,3610
4,3600
4,3590
4,3580
4,3570
4,3560
4,3550
5,3550
5,3540
5,3530
5,3520
5,3510
5,3500
5,3490
6,3490
6,3480
6,3470
6,3460
6,3450
6,3440
6,3430
6,3420
7,3420
7,3410
7,3400
7,3390
7,3380
7,3370
7,3360
8,3360
8,3350
8,3340
8,3330
8,3320
8,3310
8,3300
9,3300
9,3290
9,3280
9,3270
9,3260
9,3250
9,3240
10,3240
10,3230
10,3220
10,3210
10,3200
10,3190
10,3180
10,3170
11,3170
11,3160
11,3150
11,3140
11,3130
11,3120
11,3110
12,3110
13,3110
14,3110
15,3110
16,3110
17,3110
18,3110
19,3110
20,3110
21,3110
22,3110
23,3110
24,3110
25,3110
26,3110
27,3110
28,3110
29,3110
30,3110
31,3110
32,3110
33,3110
34,3110
35,3110
36,3110
37,3110
38,3110
39,3110
40,3110
41,3110
42,3110
43,3110
44,3110
45,3110
46,3110
47,3110
48,3110
49,3110
50,3110
51,3110
52,3110
53,3110
54,3110
55,3110
56,3110
57,3110
58,3110
59,3110
60,3110
61,3110
62,3110
63,3110
64,3110
65,3110
66,3110
67,3110
68,3110
69,3110
70,3110
71,3110
72,3110
73,3110
74,3110
75,3110
76,3110
77,3110
78,3110
79,3110
80,3110
81,3110
82,3110
83,3110
84,3110
85,3110
86,3110
87,3110
88,3110
89,3110
90,3110
91,3110
92,3110
93,3110
94,3110
95,3110
96,3110
97,3110
98,3110
99,3110
100,3110
101,3110
102,3110
103,3110
104,3110
105,3110
106,3110
107,3110
108,3110
109,3110
110,3110
111,3110
112,3110
113,3110
114,3110
115,3110
116,3110
117,3110
118,3110
119,3110
120,3110
