Tiempo (s),Factibles,Infactibles (Podas FC)
1,36992,368
2,74707,368
3,112257,368
4,149958,368
5,187643,368
6,225076,368
7,263002,368
8,300743,368
9,338066,368
10,375073,368
11,412280,368
12,449944,368
13,487417,368
14,525008,368
15,562587,368
16,600239,368
17,637930,728
18,675401,1988
19,712505,3428
20,749463,4688
21,786549,5948
22,823755,7208
23,861209,8468
24,898680,9728
25,936141,10988
26,973390,12428
27,1010422,13688
28,1047685,14948
29,1084972,16208
30,1121866,17468
31,1159268,18728
32,1196676,19988
33,1234084,21248
34,1271111,22688
35,1308106,23948
36,1345287,25208
37,1382312,26468
38,1419080,27728
39,1455900,28988
40,1493032,30248
41,1530045,31508
42,1567433,32768
43,1604854,34028
44,1640929,35288
45,1677858,36548
46,1714878,37808
47,1751907,39248
48,1788885,40508
49,1825676,41768
50,1862620,43028
51,1899291,44288
52,1936578,45548
53,1974002,46808
54,2011143,48068
55,2047724,49328
56,2084241,50588
57,2120664,51848
58,2156663,53108
59,2191813,54368
60,2227464,55628
61,2263401,56708
62,2299372,57968
63,2335672,59228
64,2371968,60488
65,2408511,61748
66,2445119,63008
67,2481709,64268
68,2518410,65528
69,2555036,66788
70,2591912,68048
71,2628899,69308
72,2665877,70568
73,2703054,72008
74,2740320,73268
75,2777675,74528
76,2815153,75788
77,2852603,77048
78,2889967,78308
79,2927055,79568
80,2964088,81008
81,3001217,82268
82,3037822,83528
83,3074451,84788
84,3111101,86048
85,3147737,87308
86,3184314,88568
87,3221760,89828
88,3259184,91088
89,3296549,92348
90,3333991,93608
91,3371159,95048
92,3408261,96308
93,3444194,97388
94,3480556,98648
95,3517017,99908
96,3554161,101348
97,3590879,102608
98,3627950,103868
99,3665327,105128
100,3702716,106388
101,3740138,107648
102,3777511,108908
103,3814803,110168
104,3851936,111608
105,3889104,112868
106,3926441,114128
107,3963817,115388
108,4001132,116648
109,4037716,117908
110,4074243,119168
111,4110815,120428
112,4147392,121688
113,4183980,122948
114,4220523,124208
115,4257069,125468
116,4293599,126728
117,4330069,127988
118,4366514,129248
119,4402995,130508
120,4439405,131768
