Iteracion,Solucion,Costo,Beneficio,Tiempo
1,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0011434555053710938
2,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0010712146759033203
3,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0010607242584228516
4,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0010840892791748047
5,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0010368824005126953
6,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0013077259063720703
7,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0010597705841064453
8,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0010573863983154297
9,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0011532306671142578
10,{64, 66, 3, 68, 67, 71, 72, 9, 8, 75, 76, 77, 79, 80, 81, 24, 25, 29, 33, 34, 36, 39, 40, 41, 42, 51, 52, 54},12085,9868,0.0014727115631103516
